,DR.NUMBER,DATE.REPORTED,DATE.OCCURRED,H,M,AREA.ID,AREA.NAME,REPORTING.DISTRICT,CRIME.CODE,CRIME.CODE.DESCRIPTION,MO.CODES,VICTIM.AGE,VICTIM.SEX,VICTIM.DESCENT,PREMISE.CODE,PREMISE.DESCRIPTION,WEAPON.USED.CODE,WEAPON.DESCRIPTION,STATUS.CODE,STATUS.DESCRIPTION,CRIME.CODE.1,CRIME.CODE.2,CRIME.CODE.3,CRIME.CODE.4,ADDRESS,CROSS.STREET,LOCATION,LATITUDE,LONGITUDE,geometry,index_right,CT10,GEOID10,LABEL,OBJECTID,Shape_STAr,Shape_STLe,X_Center,Y_Center,date_occ_year,date_occ_month,date_occ_day,crime_type,crime_premise,crime_weapon,newdate
11,160101156,8/9/16,8/9/16,18,0,1,Central,166,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1218 0416 0429,56,F,B,102,SIDEWALK,308,STICK,IC,Invest Cont,230,NA,NA,NA,6TH                          ST,SAN JULIAN                   ST,"(34.0428, -118.2461)",34.0428,-118.2461,POINT (-118.2461 34.0428),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,9,AGGRAVATED ASSAULT,SIDEWALK,STICK,2016 08
12,160120886,8/10/16,8/9/16,22,0,1,Central,166,121,"RAPE, FORCIBLE",1218 0500,34,F,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121,998,NA,NA,600    SAN JULIAN                   ST,,"(34.0428, -118.2461)",34.0428,-118.2461,POINT (-118.2461 34.0428),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,9,RAPE,SIDEWALK,STRONG-ARM,2016 08
13,160120951,8/10/16,8/10/16,16,0,1,Central,157,626,INTIMATE PARTNER - SIMPLE ASSAULT,1218 2004 1813 1814 0408 0444 0421 0429 0319 2000,27,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,NA,NA,NA,500 E  6TH                          ST,,"(34.0423, -118.2452)",34.0423,-118.2452,POINT (-118.2452 34.0423),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,10,SIMPLE ASSAULT,DWELLING,STRONG-ARM,2016 08
14,160120939,8/11/16,8/11/16,1,45,1,Central,158,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 2004 1218 1813 1814 0416,55,M,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,NA,NA,NA,7TH                          ST,CENTRAL                      AV,"(34.0368, -118.2412)",34.0368,-118.2412,POINT (-118.2412 34.0368),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,11,SIMPLE ASSAULT,SIDEWALK,STRONG-ARM,2016 08
15,160120982,8/12/16,8/11/16,13,0,1,Central,155,624,BATTERY - SIMPLE ASSAULT,0416 1218,NA,F,B,726,POLICE FACILITY,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,NA,NA,NA,200 E  6TH                          ST,,"(34.0448, -118.2474)",34.0448,-118.2474,POINT (-118.2474 34.0448),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,11,SIMPLE ASSAULT,OTHERS,STRONG-ARM,2016 08
16,160120989,8/11/16,8/11/16,19,0,1,Central,155,624,BATTERY - SIMPLE ASSAULT,0416 0429 2004 1218,51,M,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,NA,NA,NA,6TH,WALL,"(34.0435, -118.2471)",34.0435,-118.2471,POINT (-118.2471 34.0435),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,11,SIMPLE ASSAULT,STREET,STRONG-ARM,2016 08
17,160121162,8/14/16,8/14/16,14,10,1,Central,157,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1817 1218 0913 0416 0305,35,M,H,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230,NA,NA,NA,5TH,SAN PEDRO,"(34.0442, -118.2439)",34.0442,-118.2439,POINT (-118.2439 34.0442),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,14,AGGRAVATED ASSAULT,SIDEWALK,OTHERS,2016 08
18,160121190,8/14/16,8/14/16,17,0,1,Central,148,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1218 2004 0344,28,F,B,102,SIDEWALK,NA,,IC,Invest Cont,626,NA,NA,NA,5TH                          ST,TOWNE,"(34.043, -118.242)",34.043,-118.242,POINT (-118.242 34.043),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,14,SIMPLE ASSAULT,SIDEWALK,OTHERS,2016 08
19,160121224,8/15/16,8/15/16,11,40,1,Central,166,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1218 0400,48,F,B,102,SIDEWALK,513,STUN GUN,IC,Invest Cont,230,NA,NA,NA,600 S  SAN PEDRO                    ST,,"(34.0421, -118.2469)",34.0421,-118.2469,POINT (-118.2469 34.0421),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,15,AGGRAVATED ASSAULT,SIDEWALK,GUN,2016 08
20,160121225,8/15/16,8/15/16,10,10,1,Central,166,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0344 1218,48,F,B,517,,NA,,IC,Invest Cont,341,NA,NA,NA,600 S  SAN PEDRO                    ST,,"(34.0421, -118.2469)",34.0421,-118.2469,POINT (-118.2469 34.0421),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,15,THEFT,OTHERS,OTHERS,2016 08
21,160121252,8/15/16,8/15/16,22,0,1,Central,157,624,BATTERY - SIMPLE ASSAULT,1416 1218 2004,66,M,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,NA,NA,NA,500 S  SAN PEDRO                    ST,,"(34.0442, -118.2439)",34.0442,-118.2439,POINT (-118.2439 34.0442),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,15,SIMPLE ASSAULT,SIDEWALK,STRONG-ARM,2016 08
22,160121281,8/16/16,8/16/16,12,0,1,Central,156,440,THEFT PLAIN - PETTY ($950 & UNDER),1218 0344,58,M,W,102,SIDEWALK,NA,,IC,Invest Cont,440,NA,NA,NA,6TH                          ST,SAN PEDRO                    ST,"(34.0423, -118.2452)",34.0423,-118.2452,POINT (-118.2452 34.0423),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,16,THEFT,SIDEWALK,OTHERS,2016 08
23,160121300,8/16/16,8/16/16,14,0,1,Central,157,910,KIDNAPPING,1300 1218 0418 0443 0416 0319,27,F,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,910,NA,NA,NA,5TH                          ST,BROADWAY,"(34.0416, -118.244)",34.0416,-118.244,POINT (-118.244 34.0416),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,16,OTHERS,STREET,STRONG-ARM,2016 08
24,160121303,8/16/16,8/16/16,20,0,1,Central,157,220,ATTEMPTED ROBBERY,1260 0337 0416 1218,41,F,B,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,220,NA,NA,NA,6TH                          ST,SAN PEDRO                    ST,"(34.0417, -118.2443)",34.0417,-118.2443,POINT (-118.2443 34.0417),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,16,ROBBERY,STREET,OTHERS,2016 08
25,160121469,8/18/16,8/17/16,14,0,1,Central,166,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400 0417 1218,49,M,H,517,,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230,NA,NA,NA,600 S  SAN PEDRO                    ST,,"(34.0421, -118.2469)",34.0421,-118.2469,POINT (-118.2469 34.0421),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,17,AGGRAVATED ASSAULT,OTHERS,STRONG-ARM,2016 08
26,160121704,8/21/16,8/17/16,23,0,1,Central,146,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1218,59,F,W,102,SIDEWALK,NA,,IC,Invest Cont,440,NA,NA,NA,5TH                          ST,WALL,"(34.0449, -118.2458)",34.0449,-118.2458,POINT (-118.2458 34.0449),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,17,THEFT,SIDEWALK,OTHERS,2016 08
27,160121417,8/18/16,8/18/16,1,20,1,Central,146,210,ROBBERY,0344 1218 0305 0400 2004 0408,49,M,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,NA,NA,NA,5TH,WALL,"(34.0449, -118.2458)",34.0449,-118.2458,POINT (-118.2458 34.0449),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,18,ROBBERY,SIDEWALK,STRONG-ARM,2016 08
28,160121425,8/18/16,8/18/16,6,40,1,Central,156,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416 1218,30,F,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,NA,NA,NA,6TH                          ST,SAN PEDRO,"(34.0423, -118.2452)",34.0423,-118.2452,POINT (-118.2452 34.0423),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,18,SIMPLE ASSAULT,SIDEWALK,STRONG-ARM,2016 08
29,160121463,8/18/16,8/18/16,12,30,1,Central,157,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0334 0430 1100 2004 1218,25,F,B,102,SIDEWALK,107,OTHER FIREARM,IC,Invest Cont,230,NA,NA,NA,5TH                          ST,TOWNE,"(34.043, -118.242)",34.043,-118.242,POINT (-118.242 34.043),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,18,AGGRAVATED ASSAULT,SIDEWALK,OTHERS,2016 08
30,160121471,8/18/16,8/18/16,14,0,1,Central,147,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400 0411 1218 0445 0444 0416 0368 0429,40,M,H,102,SIDEWALK,207,OTHER KNIFE,IC,Invest Cont,230,NA,NA,NA,5TH                          ST,SAN PEDRO                    ST,"(34.0442, -118.2439)",34.0442,-118.2439,POINT (-118.2439 34.0442),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,18,AGGRAVATED ASSAULT,SIDEWALK,KNIFE,2016 08
31,160121678,8/21/16,8/21/16,22,35,1,Central,156,624,BATTERY - SIMPLE ASSAULT,1206 1218 2004 0416 0429,55,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,NA,NA,NA,500 S  SAN PEDRO                    ST,,"(34.0437, -118.2455)",34.0437,-118.2455,POINT (-118.2455 34.0437),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,21,SIMPLE ASSAULT,DWELLING,STRONG-ARM,2016 08
32,160121798,8/22/16,8/22/16,17,30,1,Central,157,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2004 1402 0411 1019 1218,67,M,B,102,SIDEWALK,207,OTHER KNIFE,AA,Adult Arrest,230,998,NA,NA,6TH,TOWNE,"(34.0408, -118.2428)",34.0408,-118.2428,POINT (-118.2428 34.0408),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,22,AGGRAVATED ASSAULT,SIDEWALK,KNIFE,2016 08
33,160101188,8/24/16,8/24/16,22,26,1,Central,147,110,CRIMINAL HOMICIDE,1100 2004 1218 0430,49,M,B,101,STREET,107,OTHER FIREARM,AA,Adult Arrest,110,NA,NA,NA,5TH                          ST,SAN PEDRO,"(34.0442, -118.2439)",34.0442,-118.2439,POINT (-118.2439 34.0442),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,24,OTHERS,STREET,OTHERS,2016 08
34,160121985,8/25/16,8/24/16,20,30,1,Central,155,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1218 2004,28,M,B,102,SIDEWALK,NA,,IC,Invest Cont,440,NA,NA,NA,6TH                          ST,WALL                         ST,"(34.0435, -118.2471)",34.0435,-118.2471,POINT (-118.2471 34.0435),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,24,THEFT,SIDEWALK,OTHERS,2016 08
35,160101194,8/25/16,8/25/16,22,0,1,Central,166,121,"RAPE, FORCIBLE",1218 0416 1019 1316,52,F,B,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,121,998,NA,NA,600 S  SAN PEDRO                    ST,,"(34.0421, -118.2469)",34.0421,-118.2469,POINT (-118.2469 34.0421),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,25,RAPE,STREET,OTHERS,2016 08
36,160122018,8/25/16,8/25/16,11,30,1,Central,156,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 1218 2004,48,F,B,517,,511,VERBAL THREAT,IC,Invest Cont,930,NA,NA,NA,500 S  SAN PEDRO                    ST,,"(34.0437, -118.2455)",34.0437,-118.2455,POINT (-118.2455 34.0437),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,25,OTHERS,OTHERS,OTHERS,2016 08
37,160122078,8/26/16,8/26/16,17,25,1,Central,158,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1218 2004 1206 2000 1814 1813 0445 0334,63,M,B,102,SIDEWALK,207,OTHER KNIFE,AO,Adult Other,230,998,NA,NA,6TH,GLADYS,"(34.0403, -118.2421)",34.0403,-118.2421,POINT (-118.2421 34.0403),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,26,AGGRAVATED ASSAULT,SIDEWALK,KNIFE,2016 08
38,160122083,8/26/16,8/26/16,8,50,1,Central,158,624,BATTERY - SIMPLE ASSAULT,0416 0429 1816 1218,55,M,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,NA,NA,NA,6TH,CERES,"(34.0394, -118.2405)",34.0394,-118.2405,POINT (-118.2405 34.0394),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,26,SIMPLE ASSAULT,STREET,STRONG-ARM,2016 08
39,160122217,8/29/16,8/29/16,24,30,1,Central,157,440,THEFT PLAIN - PETTY ($950 & UNDER),2004 1218 0344 1810,41,M,W,516,,NA,,IC,Invest Cont,440,NA,NA,NA,500 S  SAN PEDRO                    ST,,"(34.0442, -118.2439)",34.0442,-118.2439,POINT (-118.2439 34.0442),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,29,THEFT,OTHERS,OTHERS,2016 08
40,160122358,8/30/16,8/30/16,10,30,1,Central,156,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1218 2004 0444,37,M,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,998,NA,NA,6TH                          ST,SAN JULIAN,"(34.0428, -118.2461)",34.0428,-118.2461,POINT (-118.2461 34.0428),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,30,SIMPLE ASSAULT,SIDEWALK,STRONG-ARM,2016 08
41,160122459,8/31/16,8/31/16,22,0,1,Central,156,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 1218,50,M,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,230,NA,NA,NA,500 S  SAN PEDRO                    ST,,"(34.0437, -118.2455)",34.0437,-118.2455,POINT (-118.2455 34.0437),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,31,AGGRAVATED ASSAULT,DWELLING,STRONG-ARM,2016 08
42,160122465,8/31/16,8/31/16,20,0,1,Central,156,210,ROBBERY,1206 0400 0448 0429 0344 1218,44,M,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,NA,NA,NA,6TH                          ST,SAN PEDRO                    ST,"(34.0423, -118.2452)",34.0423,-118.2452,POINT (-118.2452 34.0423),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,31,ROBBERY,STREET,STRONG-ARM,2016 08
43,160122469,8/31/16,8/31/16,20,0,1,Central,155,624,BATTERY - SIMPLE ASSAULT,1218 0417 1501 2004,42,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,NA,NA,NA,6TH                          ST,MAPLE,"(34.0439, -118.2479)",34.0439,-118.2479,POINT (-118.2479 34.0439),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,31,SIMPLE ASSAULT,STREET,STRONG-ARM,2016 08
44,160122546,9/2/16,9/2/16,1,30,1,Central,156,624,BATTERY - SIMPLE ASSAULT,0400 1218,52,F,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,NA,NA,NA,6TH                          ST,SAN PEDRO,"(34.0423, -118.2452)",34.0423,-118.2452,POINT (-118.2452 34.0423),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,9,2,SIMPLE ASSAULT,STREET,STRONG-ARM,2016 09
45,160122576,9/3/16,9/2/16,16,45,1,Central,157,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1100 1218 1402 0430 0913 0345,48,M,B,102,SIDEWALK,101,REVOLVER,AA,Adult Arrest,230,998,NA,NA,7TH,TOWNE,"(34.0396, -118.2451)",34.0396,-118.2451,POINT (-118.2451 34.0396),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,9,2,AGGRAVATED ASSAULT,SIDEWALK,OTHERS,2016 09
46,160122577,9/2/16,9/2/16,13,0,1,Central,146,350,"THEFT, PERSON",1218 2004 0344,53,F,B,102,SIDEWALK,NA,,IC,Invest Cont,350,NA,NA,NA,5TH                          ST,WALL                         ST,"(34.0449, -118.2458)",34.0449,-118.2458,POINT (-118.2458 34.0449),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,9,2,THEFT,SIDEWALK,OTHERS,2016 09
47,160122597,9/3/16,9/3/16,4,36,1,Central,156,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1218 2004 0329 1814 2000,42,F,B,102,SIDEWALK,NA,,AO,Adult Other,745,NA,NA,NA,500 S  SAN PEDRO                    ST,,"(34.0437, -118.2455)",34.0437,-118.2455,POINT (-118.2455 34.0437),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,9,3,OTHERS,SIDEWALK,OTHERS,2016 09
48,160101212,9/4/16,9/4/16,18,0,1,Central,156,210,ROBBERY,0416 0344 1218 2004,65,M,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210,NA,NA,NA,5TH                          ST,WALL                         ST,"(34.0449, -118.2458)",34.0449,-118.2458,POINT (-118.2458 34.0449),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,9,4,ROBBERY,SIDEWALK,STRONG-ARM,2016 09
49,160122705,9/5/16,9/5/16,2,30,1,Central,166,624,BATTERY - SIMPLE ASSAULT,0416 2004 1218,42,M,H,709,PUBLIC RESTROOM(INDOORS-INSIDE),400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,NA,NA,NA,600 S  SAN PEDRO                    ST,,"(34.0421, -118.2469)",34.0421,-118.2469,POINT (-118.2469 34.0421),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,9,5,SIMPLE ASSAULT,OTHERS,STRONG-ARM,2016 09
50,160122722,9/5/16,9/5/16,12,55,1,Central,165,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1402 2004 0411 1218 1008 0416,39,M,B,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,230,998,NA,NA,5TH,MAPLE,"(34.0433, -118.2488)",34.0433,-118.2488,POINT (-118.2488 34.0433),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,9,5,AGGRAVATED ASSAULT,SIDEWALK,OTHERS,2016 09
51,160122816,9/6/16,9/6/16,14,20,1,Central,157,624,BATTERY - SIMPLE ASSAULT,1218 2004 1202 0416,60,F,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,NA,NA,NA,600 E  6TH                          ST,,"(34.0417, -118.2443)",34.0417,-118.2443,POINT (-118.2443 34.0417),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,9,6,SIMPLE ASSAULT,STREET,STRONG-ARM,2016 09
52,160124339,9/28/16,9/7/16,13,30,1,Central,157,121,"RAPE, FORCIBLE",0500 0527 0532 0421 0446 0416 0342 1218,39,F,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,NA,NA,NA,6TH,CROCKER,"(34.0417, -118.2443)",34.0417,-118.2443,POINT (-118.2443 34.0417),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,9,7,RAPE,STREET,STRONG-ARM,2016 09
