,shelters.NAME,shelters.LONGITUDE,shelters.LATITUDE,shelters.CITY,shelters.ORG_NAME,shelters.ADDRLN1,shelters.PHONES,advocacy,child_care,HIV.AIDS,holiday_assistance,interpreter,personal_goods,non_profit_organization,substance_abuse,youth_services,counseling_services,domestic_violence,health_services,shelter,food_supply,recreational_services,Welfare_to_work,Adults.Education,financial_assistance,transportation,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,shelters.SPA
17,Center For The Pacific Asian Family Inc,-118.3237937,34.05281501,Los Angeles,,1102 Crenshaw Blvd,"Hotline-24 Hour Service/Intake and Hotline (323) 966-4590, Hotline-24 Hours Service/Intake and Hotline (323) 653-4042,  Administrative (323) 653-4045,  FAX (323) 653-7913, Hotline-24 Hour Service/Intake and Hotline (800) 339-3940",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4
18,"Catalyst Foundation , The",-118.138432,34.69788338,Lancaster,www.catalystfdn.org,540 W Lancaster Blvd,"Service/Intake and Administration (661) 949-7378,  FAX (661) 942-0022,  Service/Intake and Administration (661) 948-8559",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1
19,Antelope Valley Domestic Violence Council - Homeless Solutions Access Center,-118.1375461,34.70308097,Lancaster,valleyoasis.org,45134 N. Sierra Hwy.,"Homeless Solutions Access Center Service/Intake (661) 942-2758,  FAX (661) 942-2079",0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1
20,Grace Resources Inc,-118.1373111,34.702937,Lancaster,www.graceresources.org,45134 Sierra Hwy,"FAX (661) 940-5274,  Service/Intake (661) 940-5272",0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1
21,Year Round Pick-Up Site - Antelope Valley Access Center,-118.1375461,34.70308097,Lancaster,www.lahsa.org,45134 N. Sierra Hwy.,Service/Intake (661) 945-7524,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1
22,Mental Health America Of Los Angeles - Antelope Valley Services,-118.1386738,34.70176567,Lancaster,www.mhala.org,506 W Jackman St,"FAX (661) 726-2854,  Service/Intake and Administration (661) 726-2850",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
23,"Catalyst Foundation, The - Clinic",-118.1415527,34.69538182,Lancaster,,44758 Elm Ave,Service/Intake (661) 948-8559,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1
24,Jewish Family Service Of Los Angeles - Family Violence Project,-118.4370661,34.14913797,Sherman Oaks,,13949 Ventura Blvd.,"Administrative (818) 789-1293, 24 Hr. Hotline and Main Intake Service/Intake and Hotline (818) 505-0900, 24 Hour Service/Intake and Hotline (310) 858-9344,  FAX (818) 789-7581",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
25,Salvation Army Corps Community Center - Burbank,-118.3062591,34.18124297,Burbank,www.salvationarmy-socal.org,300 E. Angeleno,"FAX (818) 845-7274,  Service/Intake (818) 845-7214",0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2
26,Our Saviour Center,-118.0295641,34.08551997,El Monte,www.oursaviourcenter.org,4368 Santa Anita Ave.,"FAX (626) 579-2689, Family Planning Service/Intake (626) 579-0290 Ext.100, Administration Service/Intake (626) 579-2190 Ext.116, Shelter Service/Intake (626) 579-0290 Ext.127, Clinic Service/Intake (626) 579-2190 Ext.100,  Service/Intake (626) 579-0290, Y",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,3
27,Catholic Charities Of Los Angeles - San Juan Diego Center,-118.0318051,34.08233397,El Monte,www.catholiccharitiesla.org,4171 Tyler Ave.,"FAX (626) 575-1072,  Service/Intake (626) 575-7652",0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,3
28,Lamp Community - Frank Rice Access Center,-118.2467481,34.04230597,Los Angeles,www.lampcommunity.org,627 San Julian St.,"Administrative (213) 488-9559,  Service/Intake (213) 488-0031",0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,4
29,Union Rescue Mission,-118.2448581,34.04311397,Los Angeles,www.urm.org,545 S. San Pedro St.,"Service/Intake and Administration (213) 347-6300, Volunteer Opportunities Service/Intake (213) 347-6300 Ext.1149, Other donations Service/Intake (213) 347-6300 Ext.1023,  FAX (213) 612-0260, Vehicle donations Service/Intake (800) 833-0078",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,4
30,Emmanuel Baptist Rescue Mission,-118.2431051,34.04351197,Los Angeles,,530 E. Fifth St.,Service/Intake and Administration (213) 626-4681,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,4
31,Midnight Mission,-118.2455051,34.04225697,Los Angeles,www.midnightmission.org,601 S. San Pedro St.,"FAX (213) 553-2359,  Service/Intake and Administration (213) 624-9258, Volunteers- Georgia Berkovitch Service/Intake (213) 624-9258 Ext.1243,  Service/Intake (888) 624-9258",0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,4
32,Weingart Center Association,-118.2451619,34.04227747,Los Angeles,www.weingart.org,501 E 6Th St,"Donation Program Service/Intake (800) 390-7164,  FAX (626) 689-2289, Weingart Institute Administration (213) 689-2280, Homeless Access Center Service/Intake (213) 833-5020, Donations/Volunteers Service/Intake (213) 689-2224, Hope Row Resource Center FAX (",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,4
33,Year Round Shelter - Eimago (Union Rescue Mission),-118.2448581,34.04311397,Los Angeles,www.lahsa.org,545 S. San Pedro St.,Service/Intake and Administration (213) 347-6300,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,4
34,Volunteers Of America - San Julian Access Center,-118.2464301,34.04229997,Los Angeles,www.voala.org,628 S. San Julian St.,Service/Intake and Administration (213) 624-4357,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,4
35,Year Round Shelter - Lamp Community,-118.2441902,34.04338456,Los Angeles,,526 S San Pedro St,Service/Intake (213) 488-9559,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,4
36,Russ - Sro Housing Corporation,-118.2454395,34.04411947,Los Angeles,,517 San Julian St,Information Only (213) 229-9655,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,4
37,Angelus Inn - Sro Housing Corporation,-118.2451922,34.0440252,Los Angeles,,518 San Julian St,Information Only (213) 229-9662,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
38,Lamp Community,-118.2441902,34.04338456,Los Angeles,www.lampcommunity.org,526 S San Pedro St,"Service/Intake (213) 488-0031,  Service/Intake and Administration (213) 488-9559,  FAX (213) 270-9060",0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
39,Women's And Children's Crisis Shelter,-118.0335875,33.97583804,Whittier,,13305 Penn St,"Administrative (562) 945-3937,  Service/Intake and Hotline (562) 945-3939",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,7
40,St. Matthias Episcopal Church,-118.0348021,33.97855897,Whittier,,7056 S. Washington Ave.,Service/Intake and Administration (562) 698-9741,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,7
41,Door Of Hope,-118.141948,34.15745399,Pasadena,LA County,669 N. Los Robles Ave.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,NA
42,Scadp - Casa Libre Residential Services,-118.1865447,34.02106888,Los Angeles,LA County,1055 S. Eastman Ave.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
43,Wecan House,-118.2880818,33.73937841,San Pedro,LA County,505 S. Pacific Ave.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8
44,Joint Efforts Inc,-118.2880825,33.73937768,San Pedro,www.jointefforts.org,505 S Pacific Ave,"FAX (310) 831-2356,  TDD (310) 831-6948,  Service/Intake and Administration (310) 831-2358",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
45,Year Round Shelter - Harbor Interfaith Services,-118.2915812,33.73615825,San Pedro,,670 W 9Th St,Service/Intake (310) 831-0589,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,8
46,"Serra Project, The",-118.1246491,34.14985046,Pasadena,LA County,1245 E. Walnut St.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
47,Salvation Army Corps Community Center - Pasadena,-118.1298181,34.14948097,Pasadena,www.salvationarmy-socal.org,1000 E. Walnut St.,"Administrative (626) 773-4400, Director of Social Services Service/Intake (626) 773-4404,  Service/Intake (626) 773-4425",0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,NA
48,Homeless Shelter For Women And Children,-118.1927357,33.89643596,Compton,LA County,4513 E. Compton Blvd.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,6
49,Urdc Human Services Corporation - Casa Maria,-118.1361,34.16927382,Pasadena,LA County,691 E. Washington Blvd.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
50,Upward Bound - Family Place,-118.493773,34.02738889,Santa Monica,LA County,1020 12Th St.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
51,Upward Bound House - Family Place,-118.4937736,34.02738805,Santa Monica,,1020 12Th Ct,"Service/Intake and Administration (310) 458-7779, Shelter/Case Managers Referral Service/Intake (310) 458-7779 Ext.211, Shelter/Case Managers-Program Manager Service/Intake (310) 458-7779 Ext.212, Shelter/Case Managers Referral Service/Intake (310) 458-77",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,5
52,Foothill Family Shelter,-117.7727742,34.05114325,Upland,LA County,1501 W. 9Th St.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3
53,La Posada,-118.2657895,34.05753851,Los Angeles,LA County,375 S. Columbia Ave.,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
54,Long Beach Rescue Mission,-118.1941279,33.78338878,Long Beach,www.lbrm.org,1335 Pacific Ave,"Service/Intake and Administration (562) 591-1292, Long Beach Multi-Service Center Service/Intake (562) 733-1147,  FAX (562) 216-7667",0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,NA
55,Ocean Park Community Center - Access Center,-118.4880891,34.01387597,Santa Monica,www.opcc.org,503 Olympic Blvd.,"Volunteer Coordinator Administrative (310) 450-4050 Ext.131, Shelter Referral Service/Intake (310) 450-4050",0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,5
56,Ocean Park Community Center - Samoshel,-118.4890911,34.01365397,Santa Monica,www.opcc.org,505 Olympic Blvd.,"Shelter Referral Service/Intake (310) 450-4050, Homeless Support Svcs Info Service/Intake (310) 581-9825",0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,5
57,Daybreak Center,-118.4946611,34.01104097,Santa Monica,www.opcc.net,1614 Ocean Ave.,"Service/Intake (310) 393-4344, Volunteer Coordinator Service/Intake (310) 393-6045",1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,5
58,Salvation Army Corps Community Center - Santa Monica,-118.4924161,34.01453197,Santa Monica,www.salvationarmy-socal.org,1533 4th St.,"Service/Intake (310) 917-1138,  FAX (310) 394-7398",0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,5
59,Catholic Charities Of Los Angeles - Guadalupe Community Center,-118.6008591,34.19726197,Canoga Park,,21600 Hart St.,"Service/Intake and Administration (818) 340-2050, Older Adults services Service/Intake (818) 340-5100",0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,2
60,Watts Labor Community Action Committee - Homeless Access Center,-118.2566702,33.93814529,Los Angeles,www.wlcac.org,958 E 108Th St,Access Center and Shelter Service/Intake (323) 563-4721,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
61, Access Center (WLCAC Access Center for Homeless Services),-118.2580335,33.93826497,Los Angeles ,Access Center (WLCAC Access Center for Homeless Services),958 E. 108th Street,"(323) 563 - 4721
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
62,Jovenes Inc - La Posada Shelter,-118.2225901,34.05204797,Los Angeles,www.jovenesinc.org,1320 Pleasant Ave.,Service/Intake (323) 260-8035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,4
63,Guadalupe Homeless Project/Cem,-118.2230821,34.04663197,Los Angeles,www.proyectopastoral.org,171 S. Gless St.,"Men's Shelter Service/Intake (323) 881-0031, Community in Action/CEM Service/Intake (323) 881-0032",0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,4
64,Proyecto Pastoral At Dolores Mission,-118.2278711,34.04887097,Los Angeles,www.proyectopastoral.org,135 N. Mission Rd.,"Thrift Store Service/Intake (323) 881-0017, Community In Action/CEM Service/Intake (323) 881-0019,  Service/Intake and Administration (323) 881-0018,  FAX (323) 268-7228",0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4
65,"Year Round Shelter - Jovenes, Inc.",-118.2228111,34.05260597,Los Angeles,www.lahsa.org,1208 Pleasant Ave.,Service/Intake and Administration (323) 260-8035,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,4
66,Year Round Shelter - Proyecto Pastoral At Dolores Mission,-118.2230821,34.04663197,Los Angeles,www.lahsa.org,171 S. Gless St.,Men's Shelter Service/Intake and Administration (323) 881-0032,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,4
67,St. Joseph Center,-118.4783221,33.99808597,Venice,www.stjosephctr.org,204 Hampton Dr.,"Homeless Service Center Information Only (310) 399-6878, MAP Program Service/Intake (310) 396-6556,  Service/Intake and Administration (310) 396-6468,  FAX (310) 392-8402, Culinary Training Service/Intake (310) 450-9095,  Service/Intake (310) 396-6468 Ext",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,5
68,Catholic Charities Of Los Angeles - St. Robert's Center,-118.4774239,33.99813631,Venice,catholiccharitiesla.org,211 3Rd Ave,Service/Intake and Administration (310) 392-8701,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
69,St. Joseph Center - Homeless Service Center,-118.4664301,34.00082297,Venice,www.stjosephctr.org,404 S. Lincoln Blvd.,Homeless Program Service/Intake (310) 399-6878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
70,Harbor Interfaith Family Shelter Program,-118.2914241,33.73503097,San Pedro,www.harborinterfaith.org,663 W. 10th St.,Shelter Service/Intake (310) 831-0589,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,8
71,Union Station - Adult Center,-118.1486491,34.13874897,Pasadena,www.unionstationhs.org,412 Raymond Ave.,Service/Intake and Administration (626) 240-4550,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,NA
72,Union Station Family Center,-118.1334241,34.15795997,Pasadena,www.unionstationhs.org,825 E. Orange Grove Blvd.,Service/Intake and Administration (626) 240-4550,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,NA
73,Union Station's Shelter Intake - Passageways,-118.1467966,34.12833254,Pasadena,www.unionstationhs.org,1020 S Arroyo Pkwy,Shelter Intake/Referral Service/Intake (626) 403-4888,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,NA
74,Hope Again,-118.3012051,34.09826397,Los Angeles,,5121 Sunset Blvd.,"FAX (323) 661-6172,  Service/Intake and Administration (323) 661-4004",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
75,North Valley Caring Services Inc,-118.4692991,34.23202197,North Hills,www.nvcsinc.org,15453 Rayen St.,"Service/Intake (818) 891-0481,  FAX (818) 830-2007",0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,2
76,Arcadia Welfare And Thrift Shop,-118.0285691,34.14396297,Arcadia,,323 N. First St.,"Thrift Shop Service/Intake (626) 447-2881,  Service/Intake (626) 447-6864",0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,0,0,3
77,House Of Yahweh,-118.3451061,33.89452297,Lawndale,www.hoy-southbay.org,4046 W. Marine Ave.,"Thrift Shop Service/Intake (310) 644-9301,  Administrative (310) 675-1384, Shelter or Food Intake Service/Intake (310) 675-6412",0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,8
78,L A Family Housing Corporation,-118.3880561,34.21335497,North Hollywood,www.lafh.org/,7843 Lankershim Blvd.,"Service/Intake and Administration (818) 982-4091,  FAX (818) 982-3895",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,2
79,Year Round Shelter - Los Angeles Family Housing,-118.3880561,34.21335497,North Hollywood,www.lahsa.org,7843 Lankershim Blvd.,"Steven Service/Intake (818) 982-4091 Ext.154, Miriam Service/Intake (818) 982-4091 Ext.167,  Service/Intake and Administration (818) 982-4091, Jerome Nielsen Service/Intake (818) 982-4091 Ext.151",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,2
80,"Rainbow Services, Ltd.",-118.2869241,33.73768497,San Pedro,www.rainbowservicesdv.org,453 W. 7th St.,"FAX (310) 548-0611, Service Center Service/Intake and Administration (310) 548-5450, 24 Hours Service/Intake and Hotline (310) 547-9343",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,8
81,St. Anthony's Christian Service,-118.0911401,34.07490297,San Gabriel,,1901 S. San Gabriel Blvd.,Service/Intake and Administration (626) 288-8912,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,3
82,Redeemer Lutheran Outreach,-118.5692391,34.22469797,Winnetka,www.our-redeemer.org,20025 Chase St.,"Administrative (818) 341-3460,  Service/Intake (818) 341-1629,  FAX (818) 341-1634",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
83,Our Redeemer Lutheran Church - Sfv Rescue Mission,-118.5708321,34.22514997,Winnetka,www.sfvrescuemission.org,8520 Winnetka Ave.,,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,2
84,Social Services At Blessed Sacrament Inc,-118.3344591,34.09958797,Los Angeles,www.hollywoodsocialservices.org,6636 Selma Ave.,"Service/Intake and Administration (323) 871-8042,  FAX (323) 464-7796",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
85,L A Gay And Lesbian Center - Youth Services Program,-118.3326151,34.10024797,Los Angeles,www.lagaycenter.org,1625 N. Schrader Blvd.,Service/Intake (323) 993-7400,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,4
86,Burbank Temporary Aid Center,-118.3260211,34.18246997,Burbank,www.burbanktemporaryaidcenter.org,1304 W. Burbank Blvd.,"FAX (818) 848-8280,  Service/Intake and Administration (818) 848-2822, Food Intake Service/Intake (818) 848-2822 Ext.107",0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2
87,Salvation Army Corps Community Center - Glendale,-118.2580081,34.13662397,Glendale,www.glendalecorps.org/,801 S. Central,"Food Intake                    Service/Intake (818) 246-5586 Ext.131,  Service/Intake (818) 246-5586",0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,NA
88,Salvation Army Corps Community Center - Compton,-118.2152171,33.89563497,Compton,www.salvationarmy-socal.org,736 E. Compton Blvd.,Service/Intake (310) 639-0362,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,6
89,St. Francis Center - Los Angeles,-118.2695011,34.03392797,Los Angeles,www.sfcla.org,1835 S. Hope St.,"FAX (213) 765-8915,  Service/Intake (213) 747-5347",0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,6
90,Salvation Army Corps Community Center - Whittier,-118.0419011,33.96899997,Whittier,www.salvationarmy-socal.org,7926 S. Pickering Ave.,Service/Intake (562) 698-8348,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,7
